hash,path,is_app,points,style_points,time,lines_added,lines_removed,files,message,timestamp
26abbf77e39340038a011fc45ef70f8bb004a92b,ex/ex02webbrowser,False,0,0,2253,146,53,2,ex02,1612735807
cffaf3750341cee73be546d2d15e3a9bec8c5c5d,.gtm/application: morsefilescontroller.app,True,0,0,10,0,0,1,ex06,1615305058
a4076a2bcf120779015e2aa34f816dea364e0c57,ex/ex05mysticorbs,False,13.190000000000001,1.0,561,0,0,2,input,1614877930
03062dc1bddd1c4f7433fefa74079520759db3ab,.gtm/junit: coffeemachinetest.testcoffeemachine.app,True,0,0,20,0,0,1,ex07coffee,1616447705
1b2b546d31fe5c8aee03fe57b801846423b53685,.gtm/junit: orbfactorytest.testcomparebrokenspaceandworkingmagicovens.app,True,0,0,427,0,0,1,oven tests,1614996957
db9c003daba43c4ac829e8a50f726a69a43f9e75,.gtm/testng: testkitchen.app,True,0,0,53,0,0,1,ex00 second try,1617406817
2d94421a5be179129acee971e78a6a12e44a9d64,.gtm/junit: magicorbtest.app,True,0,0,6,0,0,1,orbs,1614465726
6e59be6a69a02cf474b30c8ed84f35b016c24338,.gtm/application: main.app,True,0,0,9,0,0,1,pr06,1615323707
a4076a2bcf120779015e2aa34f816dea364e0c57,.gtm/application: hashcodemain.app,True,0,0,368,0,0,1,version 1,1620058922
dc19d0420561cf0175257039bf35deed2c6b928d,ex/ex05mysticorbs,False,12.6,1.0,40,6,4,1,first,1614378153
26abbf77e39340038a011fc45ef70f8bb004a92b,.gtm/junit: pokemonofficetest.fightgroupbigger.app,True,0,0,123,0,0,1,ex13 - done without style,1619642032
db9c003daba43c4ac829e8a50f726a69a43f9e75,lx/lx01stream,False,2.0,1.0,360,1,1,1,ex00 second try,1615069580
31ae136fba01ca42052ac4b4563052b857019022,.gtm/application: datastructures.app,True,0,0,20,0,0,1,data or structures or both,1612723707
2d358cc6104ea9808d26fa399aa7345d7c68baab,ex/ex01idcode,False,15.0,1.0,165,2,2,1,01,1611717531
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,ex/ex05mysticorbs,False,14.0,1.0,300,2,2,1,add comparable<oven>,1614719081
5cb8a9dfc6fb53b6c070d0ac9d4ad4e0f382befb,ex/ex11computerstore,False,20.0,1.0,300,6,2,2,ex11,1617673105
d2024466706de8b697dd55ee19ec8a2defeff239,.gtm/application: exam.app,True,0,0,171,0,0,1,kt.,1617203406
079515b37f4d26af417a48c7fbcdfd1bda8b12ce,ex/ex03bookshelf,False,15.0,1.0,60,2,2,1,pr && ex,1613127093
dc19d0420561cf0175257039bf35deed2c6b928d,ex/ex11computerstore,False,20.0,1.0,900,109,13,4,trytry,1618178016
dc19d0420561cf0175257039bf35deed2c6b928d,.gtm/application: main.app,True,0,0,35,0,0,1,first,1612961752
d2024466706de8b697dd55ee19ec8a2defeff239,pr/pr03ring,False,0,0,855,5,5,2,commit pr03.,1612889718
2dc3b95bd118d4f20118fbd65f7437401aded85b,.gtm/junit: magicoventest.testmagicovenbreaksifcreated5rbs.app,True,0,0,22,0,0,1,stock 1,1615175245
31ae136fba01ca42052ac4b4563052b857019022,.gtm/application: spaceoven.app,True,0,0,721,0,0,1,ovenfixing,1614892125
cffaf3750341cee73be546d2d15e3a9bec8c5c5d,.gtm/junit: all in ex05mysticorbs.app,True,0,0,60,0,0,1,ex05 style fixed,1614721753
e515278837da9a7c73923fde0b7a76b4ad67042a,pr/pr04stock,False,0,0,60,1,0,1,test push,1613487488
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,ex/ex06files,False,0,0,30,1,1,1,- reverse back,1615287403
079515b37f4d26af417a48c7fbcdfd1bda8b12ce,.gtm/junit: all in ex07coffee.app,True,0,0,1370,0,0,1,pr && ex,1615828470
32472c07e5a895570c665fbe1d0e7a141f54a2d5,ex/ex06files,False,0,0,67,0,0,2,first push.,1619452748
f8ce8c5a768ee94c031b0fce1a62e295688bc86b,.gtm/application: pokemonservice.app,True,0,0,15,0,0,1,lx05 first commit,1620074876
8fff7b3a00cbeba735f4d32a5f1d69f3ec715b4b,ex/ex05mysticorbs,False,10.45,1.0,180,2,0,1,can use public?,1614199124
31ae136fba01ca42052ac4b4563052b857019022,pr/pr06shelter,False,0,0,3120,147,0,7,first animal,1615486713
d2024466706de8b697dd55ee19ec8a2defeff239,ex/ex02webbrowser,False,0,0,112,8,15,1,commit ex02.,1612811500
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,.gtm/junit: worldtest.testaddlocationnotallcitiesaregiven.app,True,0,0,10,0,0,1,initial commit,1617012157
